id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9682375085947847,0.9767501231948137,0.9514425456630052,0.0031998583797666694,0.0032594306007778834,0.003140029413309338
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9845200965195393,1.0101368083675781,0.9509105557152828,0.002401222675107569,0.002372451182371312,0.002432991813026295
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9227152490597668,0.9340814017507302,0.9044320318742406,0.003968393365535021,0.004081762408273718,0.00384118506829208
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9932091873884372,1.0113544272707868,0.9681729911652026,0.00476370817884662,0.004837406939970614,0.004690615342324948
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,1.016874148191339,1.03887623524577,0.9862667401443199,0.0033037346762994123,0.003232301664196333,0.0033835178904132123
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9648913808555071,0.9748675818206052,0.948730094351553,0.0035704948852863932,0.0035995930624596727,0.003535960550275097
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,1.0085629255326378,1.0073900395237225,1.0069915257995137,0.003638870329429057,0.0033670903879205447,0.003925604298880174
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9806128164849421,0.9627257470499426,0.9987322419505448,0.003611339031746067,0.003681764922004311,0.003542377975027615
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,1.0038885192208804,1.015380305852403,0.9807142167403634,0.005341916317228881,0.005417723231306627,0.005272250508050558
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9951389173451483,0.9873102692330276,1.0021436336503549,0.00349376702196109,0.0035552675075063767,0.00343738028130725
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9595714621970303,0.9556899920862797,0.9607875763105554,0.006045447541678232,0.0063274095541627105,0.005804024816661668
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9634222951043743,0.9731006735369193,0.9451007528314206,0.0027129491706130455,0.002705964833748349,0.0027195721905309057
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9737574157448582,0.9848690490716844,0.9552310511681206,0.004015345834271256,0.003955718781331709,0.004074485481648896
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9797723682433147,0.992501547318284,0.9590689423893107,0.0035103384003271247,0.003577116665987101,0.0034488749124989807
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9890440942562653,0.9498994108950753,1.033966731893297,0.002969516033944538,0.0029788010981694865,0.002959816393351757
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.9624286479884858,0.9849454907695382,0.9241582973660835,0.0033165405999879276,0.003282363207663056,0.0033531811482162594
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9708935369823852,0.9606791297854784,0.9785001508900709,0.003197843787409798,0.0031499389895005866,0.003248748756186922
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9766593692574641,0.9514449809479673,1.0121184377405332,0.0038995966981487727,0.003984767764950037,0.0038195522676262635
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,1.0203812066443918,1.0715110220166744,0.9486667382832739,0.004477834881154161,0.004565235022738628,0.00438919579182612
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.9734665637449559,0.9832360447053805,0.9552225700486799,0.003955487896519216,0.0040261902937679785,0.0038915552103984063
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9910825849533839,0.9586918033788435,1.0333752643891452,0.005537384578407254,0.005815954073221819,0.0052687280326388815
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9740498638782946,0.9834175015463533,0.9553871296145497,0.003992149172740233,0.00399097451300607,0.003991803242675455
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9735060778443885,0.9592412431347562,0.9863625093140959,0.004600033871502643,0.004634272978297373,0.004567097895551601
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9411083398583505,0.9606735903869942,0.9136609789032357,0.003925831742996578,0.0039002326428669095,0.003948958827557246
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9680714931381456,0.9616190665807732,0.9703799715164163,0.00326077551160363,0.0031798413797146222,0.0033560761599909163
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.9911229591232039,1.003078009679355,0.9686595693491346,0.004974784320803555,0.0049706251870029125,0.004977348262248643
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9778910193775172,1.0137718209254658,0.9258346074618848,0.005134609108821985,0.005241860856355179,0.0050318650279992235
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9821352261489616,1.0076810472521907,0.942275827415257,0.0031849641895520873,0.003197088888721725,0.0031722109700367783
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9991256493736925,1.0359679094903342,0.9428682752664012,0.005005093332496704,0.005007069768242077,0.004996985942495022
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,1.007965448248081,1.0246405302136088,0.9812160258839634,0.004296053609260168,0.0043218732468059936,0.004269005799984027
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.9846130769508787,1.0186409355945487,0.9316484906031851,0.0035527318701239095,0.003494463778542387,0.0036162643923757865
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9749189977368686,0.9687909806598712,0.9771521602191476,0.005554515011420981,0.0054159295047184015,0.005693275465979501
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9683071911428064,0.9603446786519847,0.971747707896691,0.0035693752830924567,0.003436521270586736,0.0037363041857778746
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,1.0060840964923186,1.033129847370301,0.9654768975585555,0.0050931078592879545,0.004793086546725248,0.005460843233671006
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9834618288884465,0.9761678457859596,0.989151781877141,0.0036043672140973182,0.0035854955086902316,0.0036248773567672575
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9834782382805006,0.9865360784529481,0.9728633859966396,0.002961938402846134,0.0029647716629253103,0.0029585388198169766
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.983922362087535,0.9991241349966229,0.9533800493593476,0.003738588307365839,0.003750721345302745,0.003724562044296394
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9908251544609632,1.022737172430491,0.9417419880933462,0.0054213996319660614,0.005541332942794755,0.005293843228216823
