id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/20,funcsim_segment_1/20,funcsim_segment_2/20,funcsim_segment_3/20,funcsim_segment_4/20,funcsim_segment_5/20,funcsim_segment_6/20,funcsim_segment_7/20,funcsim_segment_8/20,funcsim_segment_9/20,funcsim_segment_10/20,funcsim_segment_11/20,funcsim_segment_12/20,funcsim_segment_13/20,funcsim_segment_14/20,funcsim_segment_15/20,funcsim_segment_16/20,funcsim_segment_17/20,funcsim_segment_18/20,funcsim_segment_19/20,funcsim_segment_0/2,funcsim_segment_1/2
M308-8_v1,308,False,8,2,"(88, 7378)",F,0.6163838784118673,0.6776152039071218,0.0746098199886488,0.3596639368658889,0.3712725360737683,0.2965033548895579,0.3376904520246537,0.3574607935776099,0.3269077090926238,0.3749255946509591,0.4337460763114761,0.2112342763028376,0.3172721140208914,0.3221260956621439,0.2054262305668296,0.2351662045728816,0.1632763369074064,0.0023823342803151,0.010255080019106,0.0050356040606545,-0.0112974666581921,0.6522610908527718,0.21855980868564506
M308-10_v1,308,False,10,2,"(111, 7328)",F,0.352052967791282,0.4006712113661527,0.250401824530447,0.3696122379196106,0.2240639768626177,0.3727470181875121,0.4137516630467948,0.3559171233112386,0.4464244631698607,0.3589181708632706,0.3279294904736475,0.3617494413770188,0.4068277813074336,0.3155423709057836,0.3446868501248373,0.3673569893528691,0.3554359046404349,0.3287896803589757,0.3207794740523876,0.2405113832489386,0.1710662445553446,0.3459303308270306,0.4115448415617122
M308-12_v1,308,False,12,2,"(135, 7630)",F,0.5288300551490517,0.2945790101515205,0.5898980896521352,0.626345435099833,0.48398829923229,0.3671136747492023,0.3711217188266202,0.4360651895602327,0.4164594433265141,0.4305209500383859,0.4723085861275441,0.5164176954042583,0.3188035892637438,0.3332514805858545,0.3476414094271726,0.3821344491386135,0.2299596457232575,0.332489845401663,0.2292296436209146,0.0502019814713212,0.154977232612878,0.5964005502340792,0.35777363572702253
M308-14_v1,308,False,14,2,"(107, 7269)",F,0.5116766560047674,0.2038471948462636,0.4987582285182109,0.4391149679308004,0.2611065492280143,0.2119780984911361,0.3708645677274076,0.4891570542074817,0.6549273308422211,0.538178824103724,0.4750984113281215,0.4186588261615497,0.3865049592859712,0.5372643831101607,0.4388142234590386,0.3361632254748617,0.2811648825498269,0.325098012866708,0.1581133074472475,0.1105109520205954,0.0817660938358719,0.4523283501647773,0.48081278280098577
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.5481649809602478,0.7827060363216419,0.7940017193575176,0.7576804496576289,0.6662549764397903,0.7145063852028938,0.6549220608009866,0.5063398698067566,0.3285371272525789,0.2668909978930101,0.1811818304671625,-0.0049302750863187,0.2154398200990755,0.277836462306557,0.2406948054448744,0.136919654913607,-0.0713142027683599,0.0868330801463596,-0.0763879891049986,-0.0643720370565287,-0.0552669271829968,0.7621018057237802,-0.004803056660362187
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.5130915111288884,0.7518008050582439,0.3430105832376709,0.2757115749695761,0.3191438888795491,0.3925233023949122,0.2771249685169854,0.2695427978969438,0.2051753945464992,0.2391719435524283,0.2580743271820655,0.1963214190509329,0.186169378020521,0.2231390518738788,0.1639945759143817,0.1407381978096069,0.1807453527611976,0.244236390691022,0.2347272727331675,0.1470306958387196,0.1922242652179809,0.6209982061172123,0.24494437604245134
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.607826200181798,0.8851932857092761,0.5032844334391144,0.4501382368316124,0.5096423957371164,0.5115996659585834,0.3356694726022162,0.4468932054041051,0.3998777916007574,0.3582347466696469,0.2031235717069839,0.3589297756688749,0.473524829871712,0.2359742402608808,0.2172480458847553,0.331641334161791,0.0942600887790682,0.1983058150224697,0.1117255224242849,0.1290392111655334,0.1044782888884631,0.748124138695248,0.23810661309597964
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.5735447412663277,0.6848039964317953,0.7082649324294731,0.5596378487142917,0.4355919474171614,0.2530633557262998,0.1568332339522488,0.1909008622782938,0.4144578144568442,0.4052190682982312,0.3921374362138893,0.3304342112764868,0.242890453840686,0.4078195459565237,0.3720539652067654,0.2452798294330421,0.2614452473140504,0.1614479002219878,0.1029466562044923,0.1360437277344151,0.0318534723172075,0.6782671493735991,0.27556755050107135
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.5032543484654092,0.7339554600053086,0.6905002681149174,0.2787416147488677,0.43570895532451,0.2776297494399026,0.4129292067376224,0.3534935058626434,0.408538782505056,0.194832712719924,0.2539945531312514,0.3191759471474344,0.1700659970858027,0.1781128971328155,0.1102769488648492,0.1981686983530895,-0.1073036240587052,0.1197342369393199,-0.0071807677325077,0.0796884852722827,0.0392622274363335,0.6571753471058794,0.102680799277862
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.5987993066252687,0.7238927343841857,0.6894702185094764,0.5975039846175426,0.5993141773247528,0.5904271465603065,0.6210486370150347,0.4535312138723158,0.4471067412178883,0.5479689346418104,0.3038049906387748,0.2880344641188228,0.4990778070968623,0.3443354428950095,0.208585834739331,0.2163768043017554,0.2111148799818622,0.1265538559449157,0.094070376742906,0.1232024687514161,0.0308656546344637,0.7356245973054418,0.2755737613990934
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.4454806937960538,0.7514342331796173,0.4532478443178459,0.1815467732221464,0.3623324796020574,0.0786643381364116,0.4052455196134006,0.1282492309392998,0.1865079121972379,0.3507680114876097,0.0508393666980801,0.3602058510597385,0.2871371730357979,0.3071940473591252,0.3098106065874268,0.3597851041070293,0.3533690452747217,0.2338422858098281,0.29933628911457,0.2105717940586322,0.2353040378410429,0.5175126968978374,0.36539993553973604
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.5277077228285536,0.541569198004304,0.5053105065806168,0.5422006317590963,0.6057934004331449,0.5600138184700769,0.617162829644483,0.5547028254086842,0.5549599855774643,0.4923327413513685,0.3649384977949253,0.4490791635982704,0.2790836582190073,0.349050616177801,0.3429720431758172,0.2734272770321427,0.2864171192209536,0.2495474491250541,0.1846780571768958,0.1586782927047252,0.1050027645244236,0.5761761801988232,0.3220730384217669
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.4402944928079674,0.620501226793587,0.1920838501368176,0.2439793797654044,0.4131740774439492,0.4619678686712246,0.5324307914731615,0.4628765020856504,0.5378990947202192,0.4076765506709882,0.3550189385596546,0.2992483053805577,0.2509084659070449,0.3155296850662827,0.2682049628580923,0.1739335442045137,0.1816120218953084,0.2484713426070997,0.1006088393274927,0.0674609223553809,0.0475463870138509,0.5141936993473472,0.2503060150112264
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.647472831656889,0.6605544692794376,0.468259997146853,0.4632846101225991,0.3250917025859619,0.390272536098653,0.4356830491222634,0.483327847356389,0.3882099015888502,0.4815706502565918,0.419927236800896,0.4446298407178693,0.3189590263039213,0.2449200376682047,0.4113828809240737,0.3586222174400295,0.2524544646586441,0.2176439551613985,0.2964875030247894,0.2569695432090289,0.0963933708457271,0.6944421068810601,0.35989542483663883
M361-6_v1,361,True,6,5,"(108, 7428)",F,0.6289608157473825,0.7080227449724252,0.525682520818642,0.4958038428993819,0.3463421693348174,0.3598558270675837,0.4084762026776234,0.323235735840598,0.3582207632303456,0.4181070222310983,0.3595591184550901,0.4456599347850513,0.4133762711543007,0.3909747488525074,0.420918777630245,0.2042371697633065,0.2428020926760269,0.252597702796957,0.1399212659706307,0.1623782654255129,0.0795483289288526,0.6621805788505253,0.39114826751676246
M365-6_v1,365,True,6,6,"(87, 7428)",F,0.5249858142049459,0.3798022787143785,0.4938280305160932,0.6213033829160054,0.347108144809838,0.3027468563860909,0.4211328709822428,0.4703184560464993,0.4075910758179475,0.4481483103441689,0.4120371847635684,0.2303279227513754,0.3464177048135687,0.3365725802977084,0.3248754439824993,0.3374957747412657,0.3368350153109259,0.1283695272497606,0.1587504538043093,0.0650261862675769,0.1486209894800872,0.6056423399384397,0.336685954750362
M367-6_v1,367,True,6,6,"(162, 7529)",F,0.6127337677632204,0.4695456292932809,0.4177017095430705,0.7293175258709789,0.6267076953402252,0.7273463271718232,0.7258969463015638,0.69268931787462,0.4826194310157414,0.4405650471429718,0.4775864405824064,0.3800869470384848,0.31286797030824,0.4730149279877763,0.2044304829218528,0.2277527572810547,0.1527392790938466,0.3397832348654321,0.3058067323399099,0.1867978520111871,0.125247741022899,0.6466800865282566,0.32138545814413816
M374-6_v1,374,True,6,6,"(72, 7417)",M,0.5341092384652784,0.5286020861175469,0.5672484862257935,0.5351971303287465,0.4232557428145966,0.496928570120245,0.4481218737483076,0.5158473035834339,0.4467835550776205,0.451705229060364,0.3673222866724607,0.3352683123423872,0.3237210157357003,0.3528533953386791,0.2838092884353153,0.1658456866368938,0.2628917024801073,0.2494273306443386,0.1275086905117307,0.195509117595751,-0.0021094601911181,0.5595366838228435,0.2555652673833756
M374-8_v1,374,True,8,6,"(68, 7125)",M,0.6048746017209748,0.6805467711396829,0.5805544658029232,0.1560674981705057,0.3667822897019933,0.2848599420457657,0.3563654709805724,0.4292717504601727,0.5132919526866477,0.3541233502581914,0.2102145658798022,0.2797174957968504,0.2858944926352279,0.3329208626811994,0.2691881221545918,0.2401920711222675,0.1614149333869939,0.1054162580261253,0.1602661493099564,0.0887496188232771,-0.026632727584191,0.6574775661862438,0.23443043650289028
M374-10_v1,374,True,10,6,"(68, 7649)",M,0.47068111608096197,0.5327988639303826,0.5413553563206526,0.3042034534594547,0.3213932581505839,0.4587918678702387,0.3511679024993463,0.2859990309120886,0.318408704521298,0.3284494150044453,0.2059588499147965,0.0942006569740501,0.2775108065383752,0.2820242663636906,0.1328386541734316,0.0636205057619749,0.1537739355070867,0.0830389486441323,0.1743930476010217,0.1198741237518152,0.1865212660223793,0.5329805558492642,0.15485580785580985
M387-6_v1,387,True,6,7,"(90, 7540)",M,0.5199930159933746,0.7091248737308941,0.665864963763401,0.0625096068129128,0.1990950866837907,0.3813703550498079,0.5039884220062639,0.2521393322813895,0.4420579146904311,0.3220356677674195,0.3081402657710937,0.3470959715691429,0.3278841174272473,0.2772027931262179,0.2755166655513378,0.0474936658995664,0.2042609433636805,0.138196224480756,-0.0488939107773566,0.0215530036921134,-0.0342202458639125,0.5949513136158415,0.19491638123983204
M387-10_v1,387,True,10,7,"(117, 7462)",M,0.30286951832625225,0.4613293892986722,0.2387234395373722,0.1853290581384019,0.5571203007048549,0.588974553081144,0.4658403477323125,0.3104775940251204,0.5067504577265824,0.4072563313796976,0.4239972856624827,0.2812733377204791,0.2731781140980315,0.2893491287817755,0.2469965402050812,0.2645125833247989,0.173397980707204,0.0280298565966115,0.0657257228098325,-0.0390405469709786,-0.0099637911107135,0.4192402054216377,0.17245866262060078
M396-6_v1,396,True,6,7,"(89, 7528)",F,0.3932391456677886,0.5490148341282779,0.6427018675885419,0.0715723458125569,0.3029184045489523,0.4421220067347435,0.3637375653973399,0.3034415258683411,0.449879691094057,0.4014939216554762,0.4691035899879345,0.4091665258401288,0.3711713294499756,0.2844411924626696,0.3192122358960431,0.3008517724111292,0.1941458329808152,0.2238255235700715,0.2601478126349874,0.2181845434528417,0.1099192974358428,0.44858662543094713,0.34252863340820866
M397-6_v1,397,True,6,7,"(69, 7503)",F,0.6800308633438301,0.8233232710076008,0.5370984230730736,0.5049789725360143,0.6228909068198657,0.5704770906447538,0.6614466882332539,0.553746279554028,0.5219878999609107,0.1362330009426465,0.2670100264994132,0.2615494641211948,0.2776412248199739,0.3290017955894774,0.2120177300012495,0.291294002025235,0.2167116862078309,0.2008968471748821,0.2740564559414628,0.1344542134690307,0.1184757842338909,0.7676904987727927,0.28163877564839823
M410-6_v1,410,True,6,9,"(99, 7428)",M,0.41755363359891834,0.4151750098135666,0.3624683460490278,0.4382339666014471,0.5229269449862305,0.5267401885504343,0.4606581736542988,0.44516598017465,0.423719969857539,0.517857833529699,0.4904583361218666,0.5287061400794403,0.2980983399604212,0.364665587341986,0.1235671080413443,0.1104974195231466,0.0420649199967481,0.1790420768242575,0.1848378399710326,0.1814953057817764,0.1151496233610357,0.4885642414859658,0.24841903259524764
M410-8_v1,410,True,8,9,"(102, 7532)",M,0.4142923370776629,0.5369353208286373,0.3918900903203882,0.3536050530268454,0.45398864729873,0.1400129015034976,0.3569607846883663,0.2577889475772693,0.2848149264914494,0.3723505060906582,0.2648715728516307,0.2479248529898309,0.1895202170568938,0.2557699901022426,0.1767032651794457,0.1062199133199212,0.1771582189760088,0.1437965211028736,0.0786286375356802,0.1467927114489893,0.0604210545803028,0.5351231890713982,0.17334392929434844
M410-10_v1,410,True,10,9,"(71, 7137)",M,0.33345556366694407,0.5179907374275146,0.2447017410655976,0.4704833113326273,0.3679639029525893,0.2649031992387383,0.2840993343756032,0.190085218186998,0.093043729487374,0.041791237614744,0.0405552989968163,-0.0913953941778407,0.0392088450159431,0.0426859357845821,0.0465198950112966,0.0539843765358419,0.1218882543328241,0.04973632289268,-0.0109923934503356,0.0792478030729128,0.0840852612816804,0.4272008333684325,0.04161204240142432
M412-8_v1,412,True,8,9,"(135, 7515)",F,0.20770812242016157,0.1323001692383302,0.1673034953102994,0.0082061751941059,0.2405253686935329,0.4166140611488128,0.3559518320033478,0.3102052385707342,0.3264412181059148,0.135112883246416,0.1511144019442656,0.268041867985004,0.1292979369944574,0.1184297074941942,0.1746955851278973,0.3493670314310067,0.1884627146038132,0.1697869062838715,0.277311789410956,0.1975113546211106,0.2017764564248284,0.14855391639728338,0.23997272689344307
M412-10_v1,412,True,10,9,"(101, 7163)",F,0.1825239846956008,0.581836221449278,-0.2546229910761353,0.1325526811931866,0.1522621998350297,0.0447008729623112,0.1637409454593466,0.0378830609731465,0.104918060382076,0.1258061529194423,0.0071900446068243,0.0186877875613438,0.1801955601544703,0.1434490785943664,0.0562923038857473,0.1597758170200978,0.0828884018306256,0.1130156847351999,0.0213157144948035,0.0111265854749844,-0.0146889267932802,0.2709877141801577,0.08170541712958915
M415-6_v1,415,True,6,9,"(131, 7585)",F,0.08799795995676646,0.4883583202784688,0.0181020536577436,0.1786558589188432,0.1865293380926719,0.1035282283527242,0.2363945304205766,0.1702443698963744,0.026296247824143,-0.0119418417591715,-0.1727711480576488,-0.1376802832421757,-0.1447476410635536,-0.0542786668327741,-0.103672920359524,0.0834624715995946,-0.1578329967278009,0.0990474981919617,0.2237998013205372,0.2337093503830698,0.2145578491216686,0.23999200208891572,-0.04168520961608369
M415-8_v1,415,True,8,9,"(62, 7420)",F,0.5212980988841951,0.644344129249724,0.2235733477285481,0.374133135585878,0.3398144006115495,0.3137691164087111,0.3837243417163435,0.4354653535006136,0.3845517976211539,0.4683631291853249,0.3406627325105033,0.2871841015404257,0.3786664403015339,0.2737367450604925,0.3294099692256174,0.2875574297156003,0.2128364130596606,0.2384564199997411,0.1543161026606032,0.0803734939475584,0.0676220182501405,0.5573160190357501,0.286313259419615
