id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/20,GCaMP_modularity_segment_1/20,GCaMP_modularity_segment_2/20,GCaMP_modularity_segment_3/20,GCaMP_modularity_segment_4/20,GCaMP_modularity_segment_5/20,GCaMP_modularity_segment_6/20,GCaMP_modularity_segment_7/20,GCaMP_modularity_segment_8/20,GCaMP_modularity_segment_9/20,GCaMP_modularity_segment_10/20,GCaMP_modularity_segment_11/20,GCaMP_modularity_segment_12/20,GCaMP_modularity_segment_13/20,GCaMP_modularity_segment_14/20,GCaMP_modularity_segment_15/20,GCaMP_modularity_segment_16/20,GCaMP_modularity_segment_17/20,GCaMP_modularity_segment_18/20,GCaMP_modularity_segment_19/20,dHbT_modularity_whole,dHbT_modularity_segment_0/20,dHbT_modularity_segment_1/20,dHbT_modularity_segment_2/20,dHbT_modularity_segment_3/20,dHbT_modularity_segment_4/20,dHbT_modularity_segment_5/20,dHbT_modularity_segment_6/20,dHbT_modularity_segment_7/20,dHbT_modularity_segment_8/20,dHbT_modularity_segment_9/20,dHbT_modularity_segment_10/20,dHbT_modularity_segment_11/20,dHbT_modularity_segment_12/20,dHbT_modularity_segment_13/20,dHbT_modularity_segment_14/20,dHbT_modularity_segment_15/20,dHbT_modularity_segment_16/20,dHbT_modularity_segment_17/20,dHbT_modularity_segment_18/20,dHbT_modularity_segment_19/20,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M308-8_v1,308,False,8,2,"(88, 7378)",F,0.049777917868356746,0.0190226963062012,0.0769182082644217,0.1218034437400729,0.1659925803086347,0.0922437603194601,0.045176068341853,0.0558872880821526,0.0462308158200734,0.0575222185756499,0.0492956629270034,0.0456196870549701,0.0754971276279032,0.1031497730961149,0.091415426551364,0.1077360220600844,0.1854675781862816,0.1542512336197749,0.2166593242657966,0.3194247379317773,0.5706076597263365,0.06645772023483759,0.0328992074622717,0.105886638247798,0.1128626243059335,0.0869442854979669,0.0689405805589573,0.0619282033567669,0.0483388433870099,0.0569334552853544,0.0672569736990148,0.050993836868838,0.0494984961156989,0.0512842488742719,0.0763206658933632,0.0531241393925132,0.0661878589737494,0.0895133566246266,0.0857887469982341,0.0701046555017227,0.047028448327304,0.0709336919906162,0.047326088434303415,0.09138460838306825,0.0670876503037224,0.063419308023239
M308-10_v1,308,False,10,2,"(111, 7328)",F,0.04264242211814069,0.028247681718614,0.0535580962657179,0.0725010224696637,0.0459357950013301,0.059496713828078,0.0491000276276922,0.0345435327335388,0.0398462077551761,0.0593143665767828,0.0910409006737859,0.0501545391426842,0.0608033818252249,0.0578365667629626,0.0635915862063944,0.1260857596619549,0.1529779500003187,0.1620874331600498,0.2380539523222644,0.4229529994961256,0.4318132960535725,0.1937143510160505,0.1604240209374868,0.4978358268106234,0.1700210948034593,0.134237005551091,0.2221348106676861,0.1829700173694181,0.1171612762683693,0.1269562903983143,0.1771801244663777,0.1520484260775758,0.1749171368413361,0.1207486044410423,0.134548551093226,0.0948943494121452,0.0993886760030755,0.1752243805463761,0.1443511143112489,0.1168808280509243,0.1181989117681414,0.0866286624182141,0.039167681412553224,0.08935001299400193,0.2314946906930699,0.12661982617030743
M308-12_v1,308,False,12,2,"(135, 7630)",F,0.024741592041072086,0.0151634764500798,0.0231504835199294,0.0130515171148552,0.0270808023104437,0.0252645563982939,0.0350572930876361,0.0323349091686006,0.0288671767856592,0.0479868476295873,0.0706607105825347,0.0710715107507689,0.0867612843414031,0.0959533330041165,0.0865394657216988,0.1191763240447788,0.1114419050487627,0.1947034675161605,0.2794154267310426,0.2250628925159625,0.486468592769724,0.06014585939625685,0.2110387023412397,0.0563587134723162,0.0575616352722459,0.1157792743009583,0.0651904623250237,0.0570428400884328,0.0787571455460134,0.0745829798641546,0.0524827224611061,0.0643730241171185,0.0519819082454862,0.0583313150716008,0.038636665911018,0.0417634349076717,0.0543806499399277,0.0614427278869238,0.0484151620688771,0.0476283402358899,0.0273978130128939,0.0323023972913901,0.01973627213277993,0.09792063529555474,0.08485163288400063,0.04346575626618331
M308-14_v1,308,False,14,2,"(107, 7269)",F,0.0551803912495526,0.0525958462662872,0.0350495586257706,0.0405547373775325,0.0620268664122581,0.0434220267260827,0.0539571068983473,0.0742785845838661,0.0694855446499742,0.0873034332445054,0.0713726641943017,0.1122535965178497,0.0889053696322633,0.1035148831223518,0.1540485909412968,0.1437136068067887,0.1786984137305062,0.3151445338826951,0.4230028717530143,0.4728612467148993,0.5617485040206981,0.22048255800529978,0.295539397136722,0.2978483665841288,0.2452744338420719,0.2832849593692749,0.1709871128896677,0.1963640300880445,0.3127715658547885,0.14677848593999,0.1518712062546806,0.1341303735618454,0.2176126356681864,0.1412014369341939,0.1400147415389566,0.2346527016035142,0.1955115033688268,0.1691274496853999,0.198224185081602,0.198154246689867,0.1606750713403503,0.1592682476078414,0.051206063209830795,0.1448536954282936,0.24782739941977974,0.17764995609731293
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.012736007345948964,0.0109311316407668,0.016044538516921,0.0148639472944378,0.0172106200868908,0.0075110636386626,0.0128093746049089,0.0178502079190605,0.0180267584938012,0.0247910291767889,0.0249268823894143,0.0376947809573269,0.0390539521798492,0.0472225613837139,0.048804419274475,0.0547248522303426,0.094805258230212,0.0805098538334216,0.0916833048981102,0.1361510823960516,0.3258034145158188,0.015447864131993564,0.0217066149096326,0.0126947259782962,0.0144882726325798,0.0193661499295138,0.0081527737580984,0.0067551525584576,0.007808763677925,0.0120205623720443,0.0093040726492726,0.0116181706150847,0.0087255844961767,0.0169637413680998,0.0132868295458314,0.0127183961617031,0.0181614772846822,0.0211159725401673,0.0181424611253939,0.0152111844364366,0.0095409619435084,0.0277881125022257,0.010571059072341656,0.052847348232797395,0.014134301601266372,0.015079454206265035
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.05973577280625984,0.0216918372916008,0.0853745232902437,0.0754268557385671,0.0996033028246093,0.0792328720253624,0.1238943870363683,0.132506026166473,0.1778699440605184,0.1168178641867727,0.1216063097091412,0.1284617859501022,0.208900147856145,0.1492858315549116,0.2125067995591117,0.1654622756980167,0.2471008561337923,0.1951595543284343,0.3076389191136323,0.3926933903896497,0.527839751778294,0.07902703608056832,0.0490218638568178,0.0506517016276312,0.0429211986808709,0.0957404629730057,0.0628845173640553,0.0896073159719688,0.0760120377665965,0.0435317817382514,0.0844046940442268,0.0694601139278398,0.0868547235141204,0.0932177793345338,0.096939701792088,0.08091468367968,0.0935891562922651,0.0881737586837834,0.1165155822012205,0.0818636127138675,0.1174404968839531,0.2005077843428455,0.05036210543535605,0.18282753805208207,0.071963366212905,0.08886637335452373
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.02503075896800548,0.0094970628904824,0.0708314721444318,0.03998776784202,0.0572392128409509,0.0559938143188903,0.0440734744183973,0.0659015997000806,0.060403764552475,0.0703666675142034,0.0814695669591019,0.0872943653303378,0.0973069254761757,0.1425107196409988,0.1712249927778597,0.1731939653630724,0.1902661384454113,0.2525722787532333,0.2917160048535944,0.3694061375727413,0.6723971706896283,0.045519404591895414,0.0388718968252249,0.0506890200993447,0.0443501847552829,0.0411394835469264,0.0347818952225109,0.028076600186555,0.0572224785256651,0.0322339299396827,0.038951006778589,0.0360180900065017,0.0391617004327097,0.0589104013384867,0.0371953865813357,0.0412171679299635,0.0703665811120782,0.0569592261977656,0.0591578148669656,0.0388104211452857,0.045995311456169,0.0657967827386359,0.021103940414874983,0.1365642209997912,0.04752435862550222,0.048976439376136875
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.01886461133433015,0.0046413063665362,0.0141349625641219,0.0395748826554814,0.0591110084203796,0.0422012267000647,0.0458696883104572,0.0573254942313354,0.0778283997755008,0.0794306812834061,0.098141928636885,0.1049925231910918,0.1076718357975486,0.1684127508062769,0.1498419087787478,0.1306813035157628,0.1930582718890017,0.2366240337286104,0.2191537432738235,0.2446907215518918,0.4178961812560767,0.024807392331684334,0.0149489438133715,0.0341588761240595,0.0245732337860462,0.0457949576589171,0.047611564620573,0.0375568555694519,0.0317301657210535,0.0318495720115998,0.0286522396885446,0.0406400840358121,0.0369465334697405,0.029052842933904,0.0353595683173565,0.0351571655576097,0.0306812541828678,0.0288818790835422,0.020139215411771,0.0113727445502869,0.0116981451044793,0.008287780477529,0.014318204293325998,0.13896279323606966,0.025122231019738296,0.021529923706150624
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.024233732457448077,0.0051924665362615,0.01414529660823,0.0558550932293083,0.0824702506148611,0.0897761189038053,0.0752702882947466,0.0582700754185283,0.04757885064232,0.0389530573183328,0.0632845700796232,0.0364513280961361,0.0450581409941911,0.0813525439031051,0.1161280715126129,0.1065597000050294,0.1599832056211999,0.1998360618796116,0.2695710073313891,0.2743806631915992,0.4837460816586005,0.035125708035331216,0.0177506590454466,0.0536713787919115,0.0319670185626699,0.0363625762250507,0.0383400936691706,0.0392362578890886,0.0398697328243053,0.0448805665913745,0.0570119020366572,0.0405077128109815,0.043935273114313,0.0376811492180135,0.0299071880748547,0.0145977690708826,0.021276140918156,0.0231450199708271,0.033202739189111,0.0322327855428766,0.0226766950231355,0.0356105220449435,0.020630160195433202,0.07556378007680403,0.0371292980218838,0.027508456891374468
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.028019173308651276,0.0117912636212899,0.0200159887746096,0.0350963067423956,0.0421602161535404,0.0567436512031185,0.0416972807447748,0.0710504607172212,0.0651844402761683,0.1051376175248437,0.0607759159430215,0.0724466756181845,0.0547621422803308,0.0711766889080024,0.125424811088549,0.1024130303709593,0.1188564856764399,0.1670054898123756,0.205806846543777,0.2495856966439357,0.3308026207593087,0.03362507349128347,0.0371003539363306,0.0547517964327968,0.0421145902869843,0.033074182285551,0.0301910750137811,0.0252357294688313,0.0251549103808933,0.0461559464323689,0.0370245085436425,0.0388805207645319,0.0169869887913741,0.0188165472168979,0.017522261846353,0.0257107964470332,0.0161312003498157,0.0281213746628904,0.0188740494558909,0.0185981396598372,0.0232972817354441,0.0161702914693685,0.02297720613455375,0.08968475702898228,0.03884788352643902,0.01933700634825349
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.03557954480145213,0.0080034950801364,0.0227859455292476,0.0255412790992256,0.0495910538418067,0.0639164281316714,0.0965725005846337,0.0708557351851223,0.1451179925037081,0.1442738924326267,0.1371152225864715,0.1678494298064006,0.1828251157783869,0.1878370668586625,0.1636224600323242,0.2339428689541241,0.2546683721185566,0.3359297656732435,0.4695649293455353,0.2925012564493696,0.3579527411072855,0.07163922516233504,0.0543022396150611,0.103766484894827,0.076382671228547,0.0611317545519795,0.1024196553653873,0.0679822005607052,0.0597514964326685,0.0600274411145123,0.0688006911613854,0.0295475615318274,0.06878625847877,0.0456316084798423,0.0498321280942125,0.0783587837578715,0.0528005477093063,0.0421776398033178,0.0397954669049928,0.0653491875769853,0.0492369038062581,0.056154781163065,0.025424087806969923,0.2033958059077052,0.08780136552854038,0.05599224476054473
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.028807509267633646,0.0129789500017257,0.0181696247083528,0.0241579987186221,0.0382620227906617,0.04250977502486,0.0266213769807408,0.0538233037076108,0.0449975386152089,0.0455279782574585,0.0767987256676381,0.0664302800524118,0.1221724471278406,0.1104277129714853,0.1317068001467075,0.1653658843352559,0.1815477351869306,0.2446974615198824,0.3105795027248839,0.3767037172963896,0.7330120159695076,0.06998307176431391,0.0824579739508974,0.0573368448741001,0.0336075633517645,0.0405837809040736,0.0652466986158065,0.0455161507186532,0.0531507628478158,0.0608826439207598,0.056402093399984,0.0517073531400935,0.04790094792807,0.0634653338169231,0.0455219863520984,0.0710918652808384,0.0544001227828364,0.0591796340072276,0.0602334822889316,0.0451541723859429,0.0499404276474214,0.0514989026430456,0.02476264614185188,0.12178598957150549,0.07521396327341953,0.05358231969625509
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.02528209826713218,0.0188145788361177,0.0596780947973733,0.0667386832142701,0.0280894820428884,0.0295887449422745,0.0213968094829281,0.0455499202722904,0.031255966229564,0.0480893722073617,0.0550043689971089,0.0654452261333092,0.0848694549646137,0.0842610603741736,0.0740714007564739,0.1249968028371347,0.1577958044098578,0.1467486699572131,0.2346941791684632,0.2558635343140548,0.7390497872555457,0.041097629167207064,0.0535759538310463,0.0927921871157071,0.0608823990757335,0.0450115891359531,0.0289485273613414,0.0329840217633749,0.0213645312090502,0.033088414289193,0.0248813720053133,0.0336094602057869,0.0314598541194708,0.0241563088405866,0.0204478409445902,0.0376094665835944,0.0418005881776142,0.0339356236543699,0.0308388622682809,0.0267678760841992,0.0244272932677646,0.0228849080235124,0.021997783531778507,0.10083072183653577,0.048884370581643286,0.027814191320352268
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.020794393962672218,0.0071283099677307,0.0210408855538808,0.0554546911578107,0.0663705434940467,0.0756555365809327,0.0905936657055184,0.0521135333882413,0.0405976164122904,0.0766187156184628,0.0489328999791148,0.0866955299390803,0.0988908053642855,0.1393890860914601,0.1149212117301676,0.1829095037076705,0.1456061308049107,0.2564430939512395,0.2754554085781391,0.3693088702252721,0.3520552406642614,0.11367809452957789,0.0861406923980284,0.2731724072667997,0.1155780303273678,0.1078354784370392,0.0566344558722877,0.0774201038748465,0.0812379655611118,0.1088098279638767,0.135783482385564,0.1334164964654749,0.1078942941414153,0.0799335069889321,0.139301866608636,0.1368929672447771,0.1603036701133712,0.1674032927122339,0.1366604868536184,0.1639414647748976,0.231886192440556,0.170539654692668,0.01747539860744278,0.13537698150764033,0.11435968451958188,0.13921253049545684
